"title","industry","genre","year","director","cast","rating","description","poster_url"
"Aashayein","Bollywood","Comedy Drama","2010","Nagesh Kukunoor","John Abraham, Anaitha Nair, Girish Karnad, Farida Jalal","4.4","A Bollywood Comedy Drama film released in 2010, directed by Nagesh Kukunoor and starring John Abraham, Anaitha Nair, Girish Karnad, Farida Jalal.",""
"Aladin","Bollywood","Action Adventure Comedy","2009","Sujoy Ghosh","Shubhankar Atre, Amitabh Bachchan, Victor Banerjee, Dhaval Barbhaya","4.4","A Bollywood Action Adventure Comedy film released in 2009, directed by Sujoy Ghosh and starring Shubhankar Atre, Amitabh Bachchan, Victor Banerjee, Dhaval Barbhaya.",""
"Jimmy","Bollywood","Action Crime Drama","2008","Raj N. Sippy","Mimoh Chakraborty, Rati Agnihotri, Vikas Anand, Rahul Dev","4.4","A Bollywood Action Crime Drama film released in 2008, directed by Raj N. Sippy and starring Mimoh Chakraborty, Rati Agnihotri, Vikas Anand, Rahul Dev.",""
"Mr. White Mr. Black","Bollywood","Action Comedy Crime","2008","Deepak S. Shivdasani","Sunil Shetty, Arshad Warsi, Sadashiv Amrapurkar, Deep Dhillon","4.4","A Bollywood Action Comedy Crime film released in 2008, directed by Deepak S. Shivdasani and starring Sunil Shetty, Arshad Warsi, Sadashiv Amrapurkar, Deep Dhillon.",""
"Pranali: The Tradition","Bollywood","Crime Drama","2008","Hridesh Kamble","Nargis Bagheri, Upendra Limaye, Sudha Chandran, Raman Trikha","4.4","A Bollywood Crime Drama film released in 2008, directed by Hridesh Kamble and starring Nargis Bagheri, Upendra Limaye, Sudha Chandran, Raman Trikha.",""
"Rock On!!","Bollywood","Drama Music","2008","Abhishek Kapoor","Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli","7.1","A Bollywood Drama Music film released in 2008, directed by Abhishek Kapoor and starring Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli.",""
"Billu","Bollywood","Comedy Drama","2009","Priyadarshan","Irrfan Khan, Shah Rukh Khan, Lara Dutta, Om Puri","5.3","A Bollywood Comedy Drama film released in 2009, directed by Priyadarshan and starring Irrfan Khan, Shah Rukh Khan, Lara Dutta, Om Puri.",""
"Mehbooba","Bollywood","Drama Romance","2008","Tabrez Hashmi, Afzal Khan","Sanjay Dutt, Manisha Koirala, Ajay Devgn, Asrani","4.4","A Bollywood Drama Romance film released in 2008, directed by Tabrez Hashmi, Afzal Khan and starring Sanjay Dutt, Manisha Koirala, Ajay Devgn, Asrani.",""
"Phir Kabhi","Bollywood","Drama Romance","2008","V.K. Prakash","Mithun Chakraborty, Dimple Kapadia, Rati Agnihotri, Gulshan Grover","4.4","A Bollywood Drama Romance film released in 2008, directed by V.K. Prakash and starring Mithun Chakraborty, Dimple Kapadia, Rati Agnihotri, Gulshan Grover.",""
"Alibaba Aur 40 Chor","Bollywood","Action Adventure Drama","2004","Sunil Agnihotri","Azghar, Brownie, Divya Divedi, Anwar Fatehan","4.4","A Bollywood Action Adventure Drama film released in 2004, directed by Sunil Agnihotri and starring Azghar, Brownie, Divya Divedi, Anwar Fatehan.",""
"Dhoom Dadakka","Bollywood","Comedy Crime Drama","2008","Shashi Ranjan","Jackie Shroff, Anupam Kher, Satish Shah, Gulshan Grover","4.4","A Bollywood Comedy Crime Drama film released in 2008, directed by Shashi Ranjan and starring Jackie Shroff, Anupam Kher, Satish Shah, Gulshan Grover.",""
"Aamir","Bollywood","Drama Thriller","2008","Raj Kumar Gupta","Rajeev Khandelwal, Aishwarya, Vasan Bala, Chinkal","5.3","A Bollywood Drama Thriller film released in 2008, directed by Raj Kumar Gupta and starring Rajeev Khandelwal, Aishwarya, Vasan Bala, Chinkal.",""
