"title","industry","genre","year","director","cast","rating","description","poster_url"
"Sarkar","Bollywood","Action Crime Drama","2005","Ram Gopal Varma","Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Supriya Pathak","8","A Bollywood Action Crime Drama film released in 2005, directed by Ram Gopal Varma and starring Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Supriya Pathak.",""
"AK 47","Bollywood","Action Thriller","2004","Raam Shetty","Audhitya Singh, Sheetal Bavishi, Om Puri, Ashish Vidyarthi","4.4","A Bollywood Action Thriller film released in 2004, directed by Raam Shetty and starring Audhitya Singh, Sheetal Bavishi, Om Puri, Ashish Vidyarthi.",""
"Hatya: The Murder","Bollywood","Action Crime Fantasy","2004","Kader Kashmiri","Akshay Kumar, Varsha Usgaonkar, Navin Nischol, Reema Lagoo","4.4","A Bollywood Action Crime Fantasy film released in 2004, directed by Kader Kashmiri and starring Akshay Kumar, Varsha Usgaonkar, Navin Nischol, Reema Lagoo.",""
"Krrish","Bollywood","Action Adventure Romance","2006","Rakesh Roshan","Rekha, Hrithik Roshan, Priyanka Chopra, Sharat Saxena","10.7","A Bollywood Action Adventure Romance film released in 2006, directed by Rakesh Roshan and starring Rekha, Hrithik Roshan, Priyanka Chopra, Sharat Saxena.",""
"Naach","Bollywood","Musical Drama","2004","Ram Gopal Varma","Antara Mali, Abhishek Bachchan, Ritesh Deshmukh, Priya Badlani","4.4","A Bollywood Musical Drama film released in 2004, directed by Ram Gopal Varma and starring Antara Mali, Abhishek Bachchan, Ritesh Deshmukh, Priya Badlani.",""
"Padmashree Laloo Prasad Yadav","Bollywood","Comedy","2005","Mahesh Manjrekar","Sunil Shetty, Masumeh Makhija, Mahesh Manjrekar, Johnny Lever","4.4","A Bollywood Comedy film released in 2005, directed by Mahesh Manjrekar and starring Sunil Shetty, Masumeh Makhija, Mahesh Manjrekar, Johnny Lever.",""
"Shukriya: Till Death Do Us Apart","Bollywood","Musical Drama Family","2004","Anupam Sinha","Anupam Kher, Aftab Shivdasani, Shriya Saran, Indraneel","4.4","A Bollywood Musical Drama Family film released in 2004, directed by Anupam Sinha and starring Anupam Kher, Aftab Shivdasani, Shriya Saran, Indraneel.",""
"Taarzan: The Wonder Car","Bollywood","Musical Action Drama","2004","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vatsal Seth, Ayesha Takia, Ajay Devgn, Farida Jalal","4.4","A Bollywood Musical Action Drama film released in 2004, directed by Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla and starring Vatsal Seth, Ayesha Takia, Ajay Devgn, Farida Jalal.",""
"Jo Bole So Nihaal","Bollywood","Action","2005","Rahul Rawail","Sunny Deol, Thomas Tevana, Gary Castro Churchwell, Kamaal Khan","4.4","A Bollywood Action film released in 2005, directed by Rahul Rawail and starring Sunny Deol, Thomas Tevana, Gary Castro Churchwell, Kamaal Khan.",""
"Family: Ties of Blood","Bollywood","Action Crime Drama","2006","Rajkumar Santoshi","Amitabh Bachchan, Akshay Kumar, Bhoomika Chawla, Aryeman Ramsay","4.4","A Bollywood Action Crime Drama film released in 2006, directed by Rajkumar Santoshi and starring Amitabh Bachchan, Akshay Kumar, Bhoomika Chawla, Aryeman Ramsay.",""
"Hulchul","Bollywood","Action Comedy Drama","2004","Priyadarshan","Akshaye Khanna, Kareena Kapoor, Sunil Shetty, Paresh Rawal","8.9","A Bollywood Action Comedy Drama film released in 2004, directed by Priyadarshan and starring Akshaye Khanna, Kareena Kapoor, Sunil Shetty, Paresh Rawal.",""
"Khamoshh... Khauff Ki Raat","Bollywood","Thriller","2005","Deepak Tijori","Shilpa Shetty, Juhi Chawla, Rajiv Singh, Shawar Ali","4.4","A Bollywood Thriller film released in 2005, directed by Deepak Tijori and starring Shilpa Shetty, Juhi Chawla, Rajiv Singh, Shawar Ali.",""
"Parineeta","Bollywood","Drama Musical Romance","2005","Pradeep Sarkar","Saif Ali Khan, Vidya Balan, Sanjay Dutt, Dia Mirza","6.2","A Bollywood Drama Musical Romance film released in 2005, directed by Pradeep Sarkar and starring Saif Ali Khan, Vidya Balan, Sanjay Dutt, Dia Mirza.",""
"Let's Enjoy","Bollywood","Comedy","2004","Siddharth Anand Kumar, Ankur Tewari","Shomendra Bose, Aashish Chaudhary, Roshni Chopra, Arzoo Govitrikar","4.4","A Bollywood Comedy film released in 2004, directed by Siddharth Anand Kumar, Ankur Tewari and starring Shomendra Bose, Aashish Chaudhary, Roshni Chopra, Arzoo Govitrikar.",""
"Insan","Bollywood","Drama War","2005","K. Subhash","Akshay Kumar, Ajay Devgn, Tusshar Kapoor, Esha Deol","4.4","A Bollywood Drama War film released in 2005, directed by K. Subhash and starring Akshay Kumar, Ajay Devgn, Tusshar Kapoor, Esha Deol.",""
"Kisse Pyaar Karo?n","Bollywood","Action Comedy Crime","2009","Ajay Chandhok","Arshad Warsi, Aashish Chaudhary, Yash Tonk, Udita Goswami","4.4","A Bollywood Action Comedy Crime film released in 2009, directed by Ajay Chandhok and starring Arshad Warsi, Aashish Chaudhary, Yash Tonk, Udita Goswami.",""
"Silsiilay","Bollywood","Drama","2005","Khalid Mohamed","Tabu, Bhoomika Chawla, Riya Sen, Celina Jaitly","4.4","A Bollywood Drama film released in 2005, directed by Khalid Mohamed and starring Tabu, Bhoomika Chawla, Riya Sen, Celina Jaitly.",""
"Fanaa","Bollywood","Drama Musical Romance","2006","Kunal Kohli","Aamir Khan, Kajol, Rishi Kapoor, Tabu","9.8","A Bollywood Drama Musical Romance film released in 2006, directed by Kunal Kohli and starring Aamir Khan, Kajol, Rishi Kapoor, Tabu.",""
"Pyaar Mein Twist","Bollywood","Comedy Drama Musical","2005","Hriday Shetty","Rishi Kapoor, Dimple Kapadia, Vikas Bhalla, Emma Bunton","4.4","A Bollywood Comedy Drama Musical film released in 2005, directed by Hriday Shetty and starring Rishi Kapoor, Dimple Kapadia, Vikas Bhalla, Emma Bunton.",""
"Wajahh: A Reason to Kill","Bollywood","Thriller","2004","Gautam Adhikari","Arbaaz Khan, Gracy Singh, Shamita Shetty, Zulfi Sayed","4.4","A Bollywood Thriller film released in 2004, directed by Gautam Adhikari and starring Arbaaz Khan, Gracy Singh, Shamita Shetty, Zulfi Sayed.",""
"Dhoom:2","Bollywood","Action Thriller","2006","Sanjay Gadhvi","Abhishek Bachchan, Uday Chopra, Hrithik Roshan, Aishwarya Rai Bachchan","10.7","A Bollywood Action Thriller film released in 2006, directed by Sanjay Gadhvi and starring Abhishek Bachchan, Uday Chopra, Hrithik Roshan, Aishwarya Rai Bachchan.",""
"Mulaqaat","Bollywood","Drama Thriller","2002","K. Ravi Shankar","Vinay Anand, Arun Bakshi, Rita Bhaduri, Milind Gunaji","4.4","A Bollywood Drama Thriller film released in 2002, directed by K. Ravi Shankar and starring Vinay Anand, Arun Bakshi, Rita Bhaduri, Milind Gunaji.",""
"Dil Jo Bhi Kahey...","Bollywood","Romance","2005","Romesh Sharma","Amitabh Bachchan, Revathy, Karan Sharma, Annabelle Wallis","4.4","A Bollywood Romance film released in 2005, directed by Romesh Sharma and starring Amitabh Bachchan, Revathy, Karan Sharma, Annabelle Wallis.",""
"Kis Kis Ki Kismat","Bollywood","Comedy","2004","Govind Menon","Mallika Sherawat, Rati Agnihotri, Kurush Deboo, Tinnu Anand","4.4","A Bollywood Comedy film released in 2004, directed by Govind Menon and starring Mallika Sherawat, Rati Agnihotri, Kurush Deboo, Tinnu Anand.",""
"Vaada","Bollywood","Romance Mystery Drama","2005","Satish Kaushik","Arjun Rampal, Zayed Khan, Ameesha Patel, Alok Nath","5.3","A Bollywood Romance Mystery Drama film released in 2005, directed by Satish Kaushik and starring Arjun Rampal, Zayed Khan, Ameesha Patel, Alok Nath.",""
"Rog","Bollywood","Mystery Romance Thriller","2005","Himanshu Brahmbhatt","Irrfan Khan, Suhel Seth, Himanshu Malik, Shyamoli Varma","4.4","A Bollywood Mystery Romance Thriller film released in 2005, directed by Himanshu Brahmbhatt and starring Irrfan Khan, Suhel Seth, Himanshu Malik, Shyamoli Varma.",""
"Milenge Milenge","Bollywood","Drama Romance","2010","Satish Kaushik","Kareena Kapoor, Shahid Kapoor, Aarti Chhabria, Delnaaz Irani","5.3","A Bollywood Drama Romance film released in 2010, directed by Satish Kaushik and starring Kareena Kapoor, Shahid Kapoor, Aarti Chhabria, Delnaaz Irani.",""
"Naina","Bollywood","Drama Horror Mystery","2005","Shripal Morakhia","Urmila Matondkar, Anuj Sawhney, Malavikka, Amardeep Jha","5.3","A Bollywood Drama Horror Mystery film released in 2005, directed by Shripal Morakhia and starring Urmila Matondkar, Anuj Sawhney, Malavikka, Amardeep Jha.",""
"Page 3","Bollywood","Drama","2005","Madhur Bhandarkar","Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul, Tara Sharma","8","A Bollywood Drama film released in 2005, directed by Madhur Bhandarkar and starring Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul, Tara Sharma.",""
"A Sublime Love Story: Barsaat","Bollywood","Romance","2005","Suneel Darshan","Bobby Deol, Bipasha Basu, Priyanka Chopra, Gajendra Chouhan","6.2","A Bollywood Romance film released in 2005, directed by Suneel Darshan and starring Bobby Deol, Bipasha Basu, Priyanka Chopra, Gajendra Chouhan.",""
"Blackmail","Bollywood","Action Drama Thriller","2005","Anil Devgan","Ajay Devgn, Sunil Shetty, Priyanka Chopra, Dia Mirza","4.4","A Bollywood Action Drama Thriller film released in 2005, directed by Anil Devgan and starring Ajay Devgn, Sunil Shetty, Priyanka Chopra, Dia Mirza.",""
"Deewane Huye Paagal","Bollywood","Comedy Romance","2005","Vikram Bhatt","Akshay Kumar, Sunil Shetty, Shahid Kapoor, Rimi Sen","5.3","A Bollywood Comedy Romance film released in 2005, directed by Vikram Bhatt and starring Akshay Kumar, Sunil Shetty, Shahid Kapoor, Rimi Sen.",""
"Fareb","Bollywood","Drama Thriller","2005","Deepak Tijori","Shilpa Shetty, Manoj Bajpayee, Shamita Shetty, Parmeet Sethi","4.4","A Bollywood Drama Thriller film released in 2005, directed by Deepak Tijori and starring Shilpa Shetty, Manoj Bajpayee, Shamita Shetty, Parmeet Sethi.",""
"Humko Deewana Kar Gaye","Bollywood","Romance","2006","Raj Kanwar","Akshay Kumar, Katrina Kaif, Bipasha Basu, Bhagyashree","5.3","A Bollywood Romance film released in 2006, directed by Raj Kanwar and starring Akshay Kumar, Katrina Kaif, Bipasha Basu, Bhagyashree.",""
"Karam","Bollywood","Crime Thriller","2005","Sanjay F. Gupta","John Abraham, Priyanka Chopra, Bharat Dabholkar, Vishwajeet Pradhan","5.3","A Bollywood Crime Thriller film released in 2005, directed by Sanjay F. Gupta and starring John Abraham, Priyanka Chopra, Bharat Dabholkar, Vishwajeet Pradhan.",""
"Main Aisa Hi Hoon","Bollywood","Musical Drama","2005","Harry Baweja","Ajay Devgn, Sushmita Sen, Esha Deol, Anupam Kher","4.4","A Bollywood Musical Drama film released in 2005, directed by Harry Baweja and starring Ajay Devgn, Sushmita Sen, Esha Deol, Anupam Kher.",""
"Tango Charlie","Bollywood","Action Drama War","2005","Mani Shankar","Ajay Devgn, Bobby Deol, Sanjay Dutt, Sunil Shetty","4.4","A Bollywood Action Drama War film released in 2005, directed by Mani Shankar and starring Ajay Devgn, Bobby Deol, Sanjay Dutt, Sunil Shetty.",""
"Tathastu","Bollywood","Drama","2006","Anubhav Sinha","Sanjay Dutt, Ameesha Patel, Jayapradha, Gulshan Grover","4.4","A Bollywood Drama film released in 2006, directed by Anubhav Sinha and starring Sanjay Dutt, Ameesha Patel, Jayapradha, Gulshan Grover.",""
"Jurm","Bollywood","Thriller","2005","Vikram Bhatt","Bobby Deol, Lara Dutta, Milind Gunaji, Shakti Kapoor","4.4","A Bollywood Thriller film released in 2005, directed by Vikram Bhatt and starring Bobby Deol, Lara Dutta, Milind Gunaji, Shakti Kapoor.",""
"Sheesha","Bollywood","Drama Romance Thriller","2005","Ashu Trikha","Neha Dhupia, Elidh MacQueen, Niju Mavani, Nares Ngamseera","4.4","A Bollywood Drama Romance Thriller film released in 2005, directed by Ashu Trikha and starring Neha Dhupia, Elidh MacQueen, Niju Mavani, Nares Ngamseera.",""
"Kiss Kis Ko","Bollywood","Musical","2004","Sharad Sharan","Chaitanya Bhosle, Sherrin Verghese, Bhumika Puri, Aparna Kumesh","4.4","A Bollywood Musical film released in 2004, directed by Sharad Sharan and starring Chaitanya Bhosle, Sherrin Verghese, Bhumika Puri, Aparna Kumesh.",""
"Chaahat Ek Nasha...","Bollywood","Romance","2005","Jay Prakash, Surya Prakash","Aryan Vaid, Manisha Koirala, Preeti Jhangiani, Sharad S. Kapoor","4.4","A Bollywood Romance film released in 2005, directed by Jay Prakash, Surya Prakash and starring Aryan Vaid, Manisha Koirala, Preeti Jhangiani, Sharad S. Kapoor.",""
"Sins","Bollywood","Drama Romance","2005","Vinod Pande","Vinod Pande, Shiney Ahuja, Seema Rahmani","5.3","A Bollywood Drama Romance film released in 2005, directed by Vinod Pande and starring Vinod Pande, Shiney Ahuja, Seema Rahmani.",""
"Bunty Aur Babli","Bollywood","Adventure Comedy Crime","2005","Shaad Ali","Amitabh Bachchan, Rani Mukerji, Abhishek Bachchan, Kiran Juneja","9.8","A Bollywood Adventure Comedy Crime film released in 2005, directed by Shaad Ali and starring Amitabh Bachchan, Rani Mukerji, Abhishek Bachchan, Kiran Juneja.",""
"Banaras","Bollywood","Musical Drama","2006","Pankaj Parashar","Urmila Matondkar, Ashmit Patel, Dimple Kapadia, Raj Babbar","4.4","A Bollywood Musical Drama film released in 2006, directed by Pankaj Parashar and starring Urmila Matondkar, Ashmit Patel, Dimple Kapadia, Raj Babbar.",""
"Dosti: Friends Forever","Bollywood","Romance","2005","Suneel Darshan","Akshay Kumar, Bobby Deol, Kareena Kapoor, Lara Dutta","5.3","A Bollywood Romance film released in 2005, directed by Suneel Darshan and starring Akshay Kumar, Bobby Deol, Kareena Kapoor, Lara Dutta.",""
"Lucky: No Time for Love","Bollywood","Musical Drama Romance","2005","Radhika Rao, Vinay Sapru","Salman Khan, Sneha Ullal, Mithun Chakraborty, Kader Khan","6.2","A Bollywood Musical Drama Romance film released in 2005, directed by Radhika Rao, Vinay Sapru and starring Salman Khan, Sneha Ullal, Mithun Chakraborty, Kader Khan.",""
"Shaadi No. 1","Bollywood","Comedy","2005","David Dhawan","Fardeen Khan, Zayed Khan, Sharman Joshi, Esha Deol","5.3","A Bollywood Comedy film released in 2005, directed by David Dhawan and starring Fardeen Khan, Zayed Khan, Sharman Joshi, Esha Deol.",""
"Chehraa","Bollywood","Thriller","2005","Saurabh Shukla","Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan","4.4","A Bollywood Thriller film released in 2005, directed by Saurabh Shukla and starring Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan.",""
"Hum Dum","Bollywood","Comedy Romance","2005","Kushan Nandy","Romit Raaj, Anjana Sukhani, Benjamin Gilani, Tanvi Azmi","4.4","A Bollywood Comedy Romance film released in 2005, directed by Kushan Nandy and starring Romit Raaj, Anjana Sukhani, Benjamin Gilani, Tanvi Azmi.",""
"Jodhaa Akbar","Bollywood","Action Adventure Biography","2008","Ashutosh Gowariker","Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha","8","A Bollywood Action Adventure Biography film released in 2008, directed by Ashutosh Gowariker and starring Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha.",""
"Kabhi Alvida Naa Kehna","Bollywood","Drama","2006","Karan Johar","Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan, Preity Zinta","8","A Bollywood Drama film released in 2006, directed by Karan Johar and starring Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan, Preity Zinta.",""
"Apaharan","Bollywood","Action Crime Drama","2005","Prakash Jha","Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan","8","A Bollywood Action Crime Drama film released in 2005, directed by Prakash Jha and starring Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan.",""
"Bachke Rehna Re Baba","Bollywood","Comedy","2005","Govind Menon","Rekha, Mallika Sherawat, Paresh Rawal, Satish Shah","5.3","A Bollywood Comedy film released in 2005, directed by Govind Menon and starring Rekha, Mallika Sherawat, Paresh Rawal, Satish Shah.",""
"Kyon Ki...","Bollywood","Drama Romance","2005","Priyadarshan","Salman Khan, Kareena Kapoor, Rimi Sen, Jackie Shroff","5.3","A Bollywood Drama Romance film released in 2005, directed by Priyadarshan and starring Salman Khan, Kareena Kapoor, Rimi Sen, Jackie Shroff.",""
"Maine Pyaar Kyun Kiya","Bollywood","Comedy Drama Romance","2005","David Dhawan","Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan","8","A Bollywood Comedy Drama Romance film released in 2005, directed by David Dhawan and starring Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan.",""
"My Wife's Murder","Bollywood","Thriller","2005","Jijy Philip","Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen, Rajesh Tandon","5.3","A Bollywood Thriller film released in 2005, directed by Jijy Philip and starring Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen, Rajesh Tandon.",""
"No Entry","Bollywood","Comedy Drama Musical","2005","Anees Bazmee","Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu","9.8","A Bollywood Comedy Drama Musical film released in 2005, directed by Anees Bazmee and starring Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu.",""
"Paheli","Bollywood","Fantasy Romance","2005","Amol Palekar","Shah Rukh Khan, Anupam Kher, Rani Mukerji, Amitabh Bachchan","6.2","A Bollywood Fantasy Romance film released in 2005, directed by Amol Palekar and starring Shah Rukh Khan, Anupam Kher, Rani Mukerji, Amitabh Bachchan.",""
"Socha Na Tha","Bollywood","Romance Comedy","2005","Imtiaz Ali","Abhay Deol, Ayesha Takia, Ayesha Jhulka, Apoorva Jha","5.3","A Bollywood Romance Comedy film released in 2005, directed by Imtiaz Ali and starring Abhay Deol, Ayesha Takia, Ayesha Jhulka, Apoorva Jha.",""
"Zeher","Bollywood","Thriller","2005","Mohit Suri","Emraan Hashmi, Shamita Shetty, Udita Goswami, Sameer Kochhar","7.1","A Bollywood Thriller film released in 2005, directed by Mohit Suri and starring Emraan Hashmi, Shamita Shetty, Udita Goswami, Sameer Kochhar.",""
"7 1/2 Phere: More Than a Wedding","Bollywood","Comedy Drama","2005","Ishaan Trivedi","Juhi Chawla, Irrfan Khan, Manoj Pahwa, Nina Kulkarni","4.4","A Bollywood Comedy Drama film released in 2005, directed by Ishaan Trivedi and starring Juhi Chawla, Irrfan Khan, Manoj Pahwa, Nina Kulkarni.",""
"Garam Masala","Bollywood","Comedy","2005","Priyadarshan","Akshay Kumar, John Abraham, Paresh Rawal, Rimi Sen","8.9","A Bollywood Comedy film released in 2005, directed by Priyadarshan and starring Akshay Kumar, John Abraham, Paresh Rawal, Rimi Sen.",""
"Iqbal","Bollywood","Drama","2005","Nagesh Kukunoor","Naseeruddin Shah, Girish Karnad, Shreyas Talpade, Shweta Prasad","7.1","A Bollywood Drama film released in 2005, directed by Nagesh Kukunoor and starring Naseeruddin Shah, Girish Karnad, Shreyas Talpade, Shweta Prasad.",""
"Kuchh Meetha Ho Jaye","Bollywood","Comedy Romance","2005","Samar Khan","Arshad Warsi, Mahima Chaudhry, Parvin Dabas, Sandhya Mridul","4.4","A Bollywood Comedy Romance film released in 2005, directed by Samar Khan and starring Arshad Warsi, Mahima Chaudhry, Parvin Dabas, Sandhya Mridul.",""
"Aryan: Unbreakable","Bollywood","Drama","2006","Abhishek Kapoor","Sohail Khan, Sneha Ullal, Inder Kumar, Farida Jalal","4.4","A Bollywood Drama film released in 2006, directed by Abhishek Kapoor and starring Sohail Khan, Sneha Ullal, Inder Kumar, Farida Jalal.",""
"Chingaari","Bollywood","Drama","2006","Kalpana Lajmi","Sushmita Sen, Mithun Chakraborty, Anuj Sawhney, Ila Arun","4.4","A Bollywood Drama film released in 2006, directed by Kalpana Lajmi and starring Sushmita Sen, Mithun Chakraborty, Anuj Sawhney, Ila Arun.",""
"Lage Raho Munna Bhai","Bollywood","Comedy Drama Romance","2006","Rajkumar Hirani","Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani","10.7","A Bollywood Comedy Drama Romance film released in 2006, directed by Rajkumar Hirani and starring Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani.",""
"Salaam Namaste","Bollywood","Comedy Drama Romance","2005","Siddharth Anand","Saif Ali Khan, Preity Zinta, Arshad Warsi, Tania Zaetta","8.9","A Bollywood Comedy Drama Romance film released in 2005, directed by Siddharth Anand and starring Saif Ali Khan, Preity Zinta, Arshad Warsi, Tania Zaetta.",""
"Fight Club: Members Only","Bollywood","Action Comedy","2006","Vikram Chopra","Sunil Shetty, Sohail Khan, Zayed Khan, Dino Morea","5.3","A Bollywood Action Comedy film released in 2006, directed by Vikram Chopra and starring Sunil Shetty, Sohail Khan, Zayed Khan, Dino Morea.",""
"Jaan-E-Mann: Let's Fall in Love... Again","Bollywood","Musical Romance","2006","Shirish Kunder","Salman Khan, Akshay Kumar, Preity Zinta, Anupam Kher","5.3","A Bollywood Musical Romance film released in 2006, directed by Shirish Kunder and starring Salman Khan, Akshay Kumar, Preity Zinta, Anupam Kher.",""
"Kyaa Kool Hai Hum","Bollywood","Comedy Mystery","2005","Sangeeth Sivan","Tusshar Kapoor, Ritesh Deshmukh, Isha Koppikar, Neha Dhupia","8.9","A Bollywood Comedy Mystery film released in 2005, directed by Sangeeth Sivan and starring Tusshar Kapoor, Ritesh Deshmukh, Isha Koppikar, Neha Dhupia.",""
"Mr Ya Miss","Bollywood","Comedy","2005","Antara Mali, Satchit Puranik","Antara Mali, Ritesh Deshmukh, Divya Dutta, Aftab Shivdasani","5.3","A Bollywood Comedy film released in 2005, directed by Antara Mali, Satchit Puranik and starring Antara Mali, Ritesh Deshmukh, Divya Dutta, Aftab Shivdasani.",""
"Nazar","Bollywood","Thriller","2005","Soni Razdan","Meera, Ashmit Patel, Koel Purie, Neena Gupta","5.3","A Bollywood Thriller film released in 2005, directed by Soni Razdan and starring Meera, Ashmit Patel, Koel Purie, Neena Gupta.",""
"Ek Ajnabee","Bollywood","Action Adventure Crime","2005","Apoorva Lakhia","Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian, Rucha Vaidya","5.3","A Bollywood Action Adventure Crime film released in 2005, directed by Apoorva Lakhia and starring Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian, Rucha Vaidya.",""
"Home Delivery: Aapko... Ghar Tak","Bollywood","Comedy Romance","2005","Sujoy Ghosh","Vivek Oberoi, Mahima Chaudhry, Ayesha Takia, Boman Irani","4.4","A Bollywood Comedy Romance film released in 2005, directed by Sujoy Ghosh and starring Vivek Oberoi, Mahima Chaudhry, Ayesha Takia, Boman Irani.",""
"Mixed Doubles","Bollywood","Comedy Drama","2006","Rajat Kapoor","Konkona Sen Sharma, Ranvir Shorey, Koel Purie, Saurabh Shukla","5.3","A Bollywood Comedy Drama film released in 2006, directed by Rajat Kapoor and starring Konkona Sen Sharma, Ranvir Shorey, Koel Purie, Saurabh Shukla.",""
"Mumbai Godfather","Bollywood","Action Crime Drama","2005","Deepak Balraj Vij","Seema Biswas, Vikram Singh, Bhumika, Govind Namdeo","4.4","A Bollywood Action Crime Drama film released in 2005, directed by Deepak Balraj Vij and starring Seema Biswas, Vikram Singh, Bhumika, Govind Namdeo.",""
"Shabnam Mausi","Bollywood","Drama","2005","Yogesh Bharadwaj","Ashutosh Rana, Sujeet Chaubey, Divya Desai, Jasvvant Khera","4.4","A Bollywood Drama film released in 2005, directed by Yogesh Bharadwaj and starring Ashutosh Rana, Sujeet Chaubey, Divya Desai, Jasvvant Khera.",""
"Gandhi, My Father","Bollywood","Biography Drama History","2007","Feroz Abbas Khan","Akshaye Khanna, Darshan Jariwala, Shefali Shetty, Bhoomika Chawla","4.4","A Bollywood Biography Drama History film released in 2007, directed by Feroz Abbas Khan and starring Akshaye Khanna, Darshan Jariwala, Shefali Shetty, Bhoomika Chawla.",""
"Kahaani Gudiya Ki...: True Story of a Woman","Bollywood","Drama","2008","Prabhakar Shukla","Divya Dutta, Arif Zakaria, Rajpal Yadav, Somed Agarwal","4.4","A Bollywood Drama film released in 2008, directed by Prabhakar Shukla and starring Divya Dutta, Arif Zakaria, Rajpal Yadav, Somed Agarwal.",""
"Naam Gum Jaayega","Bollywood","Thriller","2005","Amol Shetge","Raqesh Vashisth, Dia Mirza, Aryan Vaid, Mandira Bedi","4.4","A Bollywood Thriller film released in 2005, directed by Amol Shetge and starring Raqesh Vashisth, Dia Mirza, Aryan Vaid, Mandira Bedi.",""
"Eklavya: The Royal Guard","Bollywood","Action Drama Thriller","2007","Vidhu Vinod Chopra","Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt, Vidya Balan","5.3","A Bollywood Action Drama Thriller film released in 2007, directed by Vidhu Vinod Chopra and starring Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt, Vidya Balan.",""
"Ek Khiladi Ek Haseena","Bollywood","Comedy Crime Thriller","2005","Suparn Verma","Fardeen Khan, Koena Mitra, Kay Kay Menon, Rakhi Sawant","5.3","A Bollywood Comedy Crime Thriller film released in 2005, directed by Suparn Verma and starring Fardeen Khan, Koena Mitra, Kay Kay Menon, Rakhi Sawant.",""
"Kal: Yesterday and Tomorrow","Bollywood","Drama Mystery Thriller","2005","Ruchi Narain","Shiney Ahuja, Murad Ali, Ahmed Chaudhary, Gopi Desai","4.4","A Bollywood Drama Mystery Thriller film released in 2005, directed by Ruchi Narain and starring Shiney Ahuja, Murad Ali, Ahmed Chaudhary, Gopi Desai.",""
"Pyare Mohan","Bollywood","Comedy Drama Romance","2006","Indra Kumar, Kookie V. Gulati","Fardeen Khan, Vivek Oberoi, Esha Deol, Amrita Rao","5.3","A Bollywood Comedy Drama Romance film released in 2006, directed by Indra Kumar, Kookie V. Gulati and starring Fardeen Khan, Vivek Oberoi, Esha Deol, Amrita Rao.",""
"Don","Bollywood","Action Crime Thriller","2006","Farhan Akhtar","Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar","8.9","A Bollywood Action Crime Thriller film released in 2006, directed by Farhan Akhtar and starring Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar.",""
"2 October","Bollywood","Crime","2003","Sunil Tiwari","Ashutosh Rana, Saadhika, Sharat Saxena, Rocky Verma","4.4","A Bollywood Crime film released in 2003, directed by Sunil Tiwari and starring Ashutosh Rana, Saadhika, Sharat Saxena, Rocky Verma.",""
"Chup Chup Ke","Bollywood","Comedy Drama Romance","2006","Priyadarshan, Kookie V. Gulati","Kareena Kapoor, Shahid Kapoor, Paresh Rawal, Neha Dhupia","7.1","A Bollywood Comedy Drama Romance film released in 2006, directed by Priyadarshan, Kookie V. Gulati and starring Kareena Kapoor, Shahid Kapoor, Paresh Rawal, Neha Dhupia.",""
"Bhairav","Bollywood","Action","2001","T.L.V. Prasad","Hemant Birje, Mithun Chakraborty, Jack Gaud, Brij Gopal","4.4","A Bollywood Action film released in 2001, directed by T.L.V. Prasad and starring Hemant Birje, Mithun Chakraborty, Jack Gaud, Brij Gopal.",""
"Chand Sa Roshan Chehra","Bollywood","Romance","2005","Shabah Shamsi","Samir Aftab, Talat Aziz, Tamannaah Bhatia, Kurush Deboo","4.4","A Bollywood Romance film released in 2005, directed by Shabah Shamsi and starring Samir Aftab, Talat Aziz, Tamannaah Bhatia, Kurush Deboo.",""
